DATE,MODE,LOCATION,CUSTOMER,PRODUCT CODE,SOURCE,RAILCAR,FLEET,SUBFLEET,RAILCAR SEALS,BOL,TERMINAL / DESTINATION,CITY,STATE,"WEIGHT
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281956,CLOVER,POSTLANE,"0235288, 0235287, 0235340, 0235339",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,485",72.00,991.87,0.34,1.9294,565.5292,567.4586,0.3067,89.9120,90.2187,09-Jan-20,0.0800,75.71
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280693,CLOVER,POSTLANE,"0235164, 0235163, 0235174, 0235173",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,374",72.05,997.48,0.30,1.7096,568.1673,569.8769,0.2718,90.3314,90.6032,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280721,CLOVER,POSTLANE,"0235214, 0235213, 0235244, 0235243",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,000",69.30,"1,000.50",0.35,1.9803,563.8228,565.8031,0.3148,89.6407,89.9555,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280789,CLOVER,POSTLANE,"0235220, 0235219, 0235250, 0235249",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,960",68.30,996.34,0.35,1.9877,565.9237,567.9114,0.3160,89.9747,90.2907,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280806,CLOVER,POSTLANE,"0235216, 0235215, 0235246, 0235245",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,952",69.10,998.00,0.35,1.9842,564.9297,566.9139,0.3155,89.8166,90.1321,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280817,CLOVER,POSTLANE,"0235218, 0235217, 0235248, 0235247",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"88,239",69.30,992.95,0.35,1.9563,556.9927,558.9490,0.3110,88.5548,88.8658,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280829,CLOVER,POSTLANE,"0235186, 0235185, 0235196, 0235195",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,861",71.20,997.24,0.30,1.7003,565.0714,566.7717,0.2703,89.8392,90.1095,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280836,CLOVER,POSTLANE,"0235184, 0235183, 0235194, 0235193",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,526",67.05,994.52,0.30,1.7176,570.8081,572.5257,0.2731,90.7512,91.0243,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280848,CLOVER,POSTLANE,"0235170, 0235169, 0235180, 0235179",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,468",71.30,992.65,0.30,1.7197,571.5198,573.2395,0.2734,90.8644,91.1378,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280857,CLOVER,POSTLANE,"0235182, 0235181, 0235192, 0235191",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,087",71.30,993.17,0.30,1.7116,568.8126,570.5242,0.2721,90.4340,90.7061,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280890,CLOVER,POSTLANE,"0235222, 0235221, 0235232, 0235231",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,850",72.80,989.95,0.28,1.5984,569.2742,570.8726,0.2541,90.5074,90.7615,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280909,CLOVER,POSTLANE,"0235188, 0235187, 0235198, 0235197",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,345",73.90,989.48,0.30,1.7229,572.5752,574.2981,0.2739,91.0322,91.3061,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280916,CLOVER,POSTLANE,"0235190, 0235189, 0235200, 0235199",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,163",71.90,989.24,0.30,1.7198,571.5581,573.2779,0.2734,90.8705,91.1439,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281060,CLOVER,POSTLANE,"0235212, 0235211, 0235242, 0235241",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,027",68.10,996.17,0.35,1.9895,566.4389,568.4284,0.3163,90.0566,90.3729,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281111,CLOVER,POSTLANE,"0235230, 0235229, 0235240, 0235239",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,998",72.60,991.06,0.28,1.5993,569.5784,571.1777,0.2543,90.5557,90.8100,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281222,CLOVER,POSTLANE,"0235224, 0235223, 0235234, 0235533",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,692",75.30,990.52,0.28,1.5947,567.9483,569.5430,0.2535,90.2966,90.5501,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281423,CLOVER,POSTLANE,"0235168, 0235167, 0235178, 0235177",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,399",71.80,991.75,0.30,1.7009,565.2802,566.9811,0.2704,89.8724,90.1428,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281570,CLOVER,POSTLANE,"0235162, 0235161, 0235172, 0235171",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,444",71.30,995.49,0.30,1.6954,563.4422,565.1376,0.2695,89.5802,89.8497,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281810,CLOVER,POSTLANE,"0235166, 0235165, 0235176, 0235175",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,038",68.30,995.05,0.30,1.7074,567.4324,569.1398,0.2715,90.2145,90.4860,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281814,CLOVER,POSTLANE,"0235226, 0235225, 0235236, 0235235",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,742",75.30,995.30,0.28,1.5880,565.5379,567.1259,0.2525,89.9133,90.1658,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281867,CLOVER,POSTLANE,"0235228, 0235227, 0235238, 0235237",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,389",66.90,997.45,0.35,1.9729,561.7011,563.6740,0.3137,89.3033,89.6170,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280746,CLOVER,POSTLANE,"0235078, 0235077, 0235114, 0235113",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,701",67.40,998.01,0.42,2.3744,562.9526,565.3270,0.3775,89.5023,89.8798,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280792,CLOVER,POSTLANE,"0235036, 0235035, 0235086, 0209419",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,006",67.90,998.43,0.30,1.7010,565.3047,567.0057,0.2704,89.8763,90.1467,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280873,CLOVER,POSTLANE,"0235080, 0235079, 0235112, 0235440",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,254",69.30,994.85,0.29,1.6548,568.9663,570.6211,0.2631,90.4584,90.7215,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280880,CLOVER,POSTLANE,"0235100, 0235099, 0235110, 0235109",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,330",66.05,995.49,0.42,2.3971,568.3359,570.7330,0.3811,90.3582,90.7393,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280883,CLOVER,POSTLANE,"0235096, 0235095, 0235106, 0235105",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,267",69.50,998.10,0.42,2.3891,566.4551,568.8442,0.3798,90.0592,90.4390,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280897,CLOVER,POSTLANE,"0235072, 0235071, 0235120, 0235119",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,209",70.70,995.59,0.29,1.6527,568.2551,569.9078,0.2628,90.3453,90.6081,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280938,CLOVER,POSTLANE,"0235098, 0235097, 0235108, 0235107",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,841",69.80,992.74,0.42,2.3907,566.8277,569.2184,0.3801,90.1184,90.4985,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280979,CLOVER,POSTLANE,"0235040, 0235039, 0235082, 0235081",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,948",67.70,992.95,0.30,1.7093,568.0633,569.7726,0.2718,90.3148,90.5866,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281093,CLOVER,POSTLANE,"0235094, 0235093, 0235104, 0235103",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,000",69.90,"1,000.26",0.42,2.3769,563.5595,565.9364,0.3779,89.5988,89.9767,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281094,CLOVER,POSTLANE,"0235060, 0235059, 0235066, 0235065",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,812",68.50,990.92,0.30,1.7102,568.3624,570.0726,0.2719,90.3624,90.6343,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281520,CLOVER,POSTLANE,"0235074, 0235073, 0235118, 0235117",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,353",71.40,993.80,0.42,2.3752,563.1430,565.5182,0.3776,89.5326,89.9102,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281534,CLOVER,POSTLANE,"0235038, 0235037, 0235084, 0235083",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,340",67.90,997.46,0.30,1.6901,561.6719,563.3620,0.2687,89.2987,89.5674,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281561,CLOVER,POSTLANE,"0235056, 0235055, 0235062, 0235061",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,411",68.00,995.09,0.30,1.6955,563.4591,565.1546,0.2696,89.5828,89.8524,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281657,CLOVER,POSTLANE,"0235076, 0235075, 0235116, 0235115",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,922",74.75,999.44,0.25,1.4155,564.4888,565.9043,0.2250,89.7466,89.9716,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281668,CLOVER,POSTLANE,"0235032, 0235031, 0235090, 0235089",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,479",68.60,987.69,0.25,1.4245,568.3946,569.8191,0.2265,90.3675,90.5940,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281829,CLOVER,POSTLANE,"0235058, 0235057, 0235064, 0235063",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,815",65.55,995.83,0.30,1.7018,565.5838,567.2856,0.2706,89.9206,90.1912,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281891,CLOVER,POSTLANE,"0235092, 0235091, 0235102, 0235101",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,585",68.40,995.68,0.42,2.3769,563.5438,565.9207,0.3779,89.5963,89.9742,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281973,CLOVER,POSTLANE,"0235034, 0235033, 0235088, 0235087",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,088",66.15,981.61,0.54,3.1143,574.1368,577.2511,0.4952,91.2804,91.7756,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280799,CLOVER,POSTLANE,"0235050, 0235049, 0235004, 0235003",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,888",70.40,999.51,0.69,3.9030,561.7529,565.6559,0.6205,89.3116,89.9321,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280933,CLOVER,POSTLANE,"0235048, 0235047, 0235002, 0235341",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,030",62.10,994.21,0.55,3.1327,566.4405,569.5732,0.4981,90.0568,90.5549,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281039,CLOVER,POSTLANE,"0235046, 0235045, 0235030, 0235029",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,026",71.40,991.63,0.30,1.7131,569.3149,571.0280,0.2724,90.5138,90.7862,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281073,CLOVER,POSTLANE,"0235022, 0235021, 0235006, 0235005",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,257",65.70,998.96,0.55,3.1256,565.1657,568.2913,0.4969,89.8542,90.3511,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281099,CLOVER,POSTLANE,"0180880, 0211952, 0235350, 0235349",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,467",69.40,988.55,0.61,3.5112,572.0970,575.6082,0.5582,90.9562,91.5144,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281253,CLOVER,POSTLANE,"0235024, 0235023, 0235008, 0235007",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,523",64.50,991.26,0.55,3.1243,564.9218,568.0461,0.4967,89.8154,90.3121,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281371,CLOVER,POSTLANE,"0235042, 0235041, 0235026, 0235025",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,567",73.50,997.60,0.30,1.6941,563.0220,564.7161,0.2693,89.5134,89.7827,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281575,CLOVER,POSTLANE,"0235016, 0235015, 0235018, 0235017",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,530",73.10,993.00,0.30,1.7013,565.3962,567.0975,0.2705,89.8908,90.1613,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281578,CLOVER,POSTLANE,"0211951, 0186807, 0235348, 0235347",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,216",68.90,993.52,0.61,3.4454,561.3683,564.8137,0.5478,89.2504,89.7982,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281613,CLOVER,POSTLANE,"0235012, 0235011, 0235020, 0235019",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,438",69.80,993.11,0.30,1.6994,564.7553,566.4547,0.2702,89.7889,90.0591,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281716,CLOVER,POSTLANE,"0235044, 0235043, 0235028, 0235027",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,701",62.90,997.70,0.69,3.9006,561.6024,565.5030,0.6201,89.2877,89.9078,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281827,CLOVER,POSTLANE,"0235014, 0235013, 0235010, 0235009",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,435",69.30,993.72,0.69,3.9060,562.1789,566.0849,0.6210,89.3793,90.0003,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281886,CLOVER,POSTLANE,"0180855, 0199941, 0235342, 0235001",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,387",69.40,991.46,0.61,3.4591,563.6138,567.0729,0.5500,89.6074,90.1574,09-Jan-20,0.0600,56.78
